ParkName,ParkCode,Region,Location,Year,Month,Count
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT EAST LOOP ROAD,2017,7,"4,523"
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT EAST LOOP ROAD,2017,8,"2,911"
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT EAST LOOP ROAD,2017,9,"1,928"
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT EAST LOOP ROAD,2017,10,"2,462"
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT EAST LOOP ROAD,2017,11,0
Big Cypress NPRES,BICY,Southeast,TRAFFIC COUNT EAST LOOP ROAD,2017,12,"2,845"
Big Thicket NPRES,BITH,Intermountain,RAW TRAFFIC COUNT AT BIG SANDY TRAIL,2017,1,40
Big Thicket NPRES,BITH,Intermountain,RAW TRAFFIC COUNT AT BIG SANDY TRAIL,2017,2,40
Big Thicket NPRES,BITH,Intermountain,RAW TRAFFIC COUNT AT BIG SANDY TRAIL,2017,3,40
Big Thicket NPRES,BITH,Intermountain,RAW TRAFFIC COUNT AT BIG SANDY TRAIL,2017,4,40
Big Thicket NPRES,BITH,Intermountain,RAW TRAFFIC COUNT AT BIG SANDY TRAIL,2017,5,40
